Username,Name,Label,Investor Score,Can DM,Reason,Followers,Following,URL
stargazer2022_,stargazer,HUMAN,65,True,"Authentic human with unique bio indicating AI entrepreneurship and specific interests in token economics and future of work; moderate investor signals from entrepreneurial keywords, but low follower count suggests limited influence.",28,73,https://x.com/stargazer2022_
teslafsdreview,TESLA FSD REVIEW,HUMAN,65,True,"Authentic human with niche Tesla/tech focus; bio includes personal interests (Tesla Roadster Pilot, decoding Elon's galaxy) and specific keywords (Tesla, SpaceX, Stocks, Cryptos, Tech futurist), indicating potential investor/alpha signal in tech and crypto sectors, though follower count is low.",6,14,https://x.com/teslafsdreview
cyberoffroad,jerardo perez,HUMAN,60,True,"Authentic human with personal details (father of 5, offroad enthusiast, specific interests in Tesla, Jeeps, tech). Bio includes keywords like 'tesla' and 'tech', indicating potential investor/alpha signal. Suitable for DM as a peer interested in tech and vehicles.",1454,846,https://x.com/cyberoffroad
PetecoleO,@CyberHusky,HUMAN,60,True,"Authentic human with personal interests (Huskies, Dogs, Spurs) and specific mention of TESLA as an investor signal; high tweet count suggests active user, but bio lacks explicit investor keywords like 'Investor' or 'Founder'.",872,1217,https://x.com/PetecoleO
SystemSculpt,Mike (SystemSculpt),HUMAN,60,True,"Authentic human with personal details (Chicago-born, RuneScape private server era, CLI maxxer since 2005) and specific interests. Shows early adopter mindset ('first to discover/test the next best thing'), which aligns with investor/alpha signals for tech and crypto. Suitable for DM as a peer interested in innovation.",823,183,https://x.com/SystemSculpt
yhtoto1,dklove,HUMAN,60,True,"Authentic human with personal interest in Tesla (TESLAM since 2020), but bio lacks explicit investor keywords; moderate investor signal due to potential tech/crypto interest implied by Tesla focus.",477,962,https://x.com/yhtoto1
AusyOcean,Hong,HUMAN,60,True,"Authentic human with personal interests in Tesla and SpaceX, indicating potential tech/investor alignment; bio includes philosophical elements but not generic bot-like quotes; high tweet count suggests active engagement; investor signals moderate due to lack of explicit investor keywords but strong tech focus.",408,605,https://x.com/AusyOcean
NecheXTech,NecheX,HUMAN,60,True,"Bio shows authentic personal interests in systems thinking and innovation, not generic bot language. Keywords like 'build' and 'technology' suggest potential investor/entrepreneur alignment, but lacks direct investment signals like 'investor' or 'crypto'.",387,243,https://x.com/NecheXTech
RuhanVarma,Ruhan Varma,HUMAN,60,True,"Authentic human with personal interest in Tesla and FSD, indicating potential alignment with tech/investor themes; moderate investor signal due to lack of explicit investor keywords but high DM suitability as a peer in tech/automotive space.",218,390,https://x.com/RuhanVarma
dheerajkamra1,Dheeraj Kamra,HUMAN,60,True,Authentic human with personal name and bio indicating founder role; investor signals moderate due to founder keyword but limited to health sector; suitable for DM as professional peer.,193,357,https://x.com/dheerajkamra1
AIOptimist1,TheAIOptimist,HUMAN,60,True,"Bio shows authentic personal interests in AI and crypto with a positive, human-centric tone; includes keywords like 'crypto' and 'Technology', but lacks direct investor signals like 'Investor' or 'Founder'; follower-following ratio suggests genuine engagement.",86,372,https://x.com/AIOptimist1
Hermuse794,hermuse,HUMAN,60,True,"Authentic human with founder role and specific project links, but limited investor keywords and low follower count reduce confidence.",70,481,https://x.com/Hermuse794
Anujceo,Anuj,HUMAN,60,True,"Authentic human with unique bio covering diverse interests (Global Affairs, AI, Business, Space Enthusiast), no bot-like generic content. Shows investor/alpha potential with keywords like 'AI' and 'Business', but lacks direct investor terms (e.g., Investor, VC). DM suitable as a professional peer in tech/business fields.",16,401,https://x.com/Anujceo
jonathan_feng,Jonathan Feng,HUMAN,40,True,"Authentic human with personal name and bio indicating professional role at xai, but lacks explicit investor keywords; moderate investor potential based on tech industry connection.",1337,431,https://x.com/jonathan_feng
JH7380NJ,NurseToInvestor101,HUMAN,40,True,"Authentic human with personal details (Taiwanese American, Christian, lifestyle values), but lacks direct investor keywords; bio focuses on personal identity and faith, not professional or investment signals.",1324,328,https://x.com/JH7380NJ
MancerAI_,MancerAI,HUMAN,40,True,"Authentic human with unique bio detailing AI development, physics background, and personal interests; lacks direct investor keywords but shows potential as a tech peer for DM engagement.",1262,1056,https://x.com/MancerAI_
tslabeatpodcast,Tesla Beat Podcast,HUMAN,40,True,"Authentic human-run podcast with specific Tesla focus, hosts listed, and consistent activity. Moderate investor signal due to Tesla content but not direct investor keywords.",1179,13,https://x.com/tslabeatpodcast
hyperiongr,Konstantinos,HUMAN,40,True,"Authentic human with unique personal details (name, nationalities, interests in space, physics, robotics, political leaning, and specific Martian location). Bio lacks direct investor keywords but shows techno-optimism and futuristic interests, suggesting potential alignment with tech/investment communities. DM suitability moderate as a peer in tech/innovation.",1204,1060,https://x.com/hyperiongr
DouglasHoang,GR0K3 @ Douglas VX Hoang,HUMAN,40,True,"Authentic human with detailed professional bio including Corporate Finance Accountant, Real Estate Agent, and Import/Export Consultant. No direct investor keywords like 'Investor' or 'VC', but finance and real estate roles suggest potential financial acumen. Bio is specific and personal, not generic or bot-like.",1186,679,https://x.com/DouglasHoang
SpaceportWill,Will Brown,HUMAN,40,True,"Authentic human with unique bio about spaceport real estate, but lacks direct investor keywords; moderate follower count suggests real engagement.",1093,1190,https://x.com/SpaceportWill
AlvigodOP,Alvin,HUMAN,40,True,"Bio shows unique personal traits (e.g., 'Introvert irl, extrovert online', 'Centrist Dude on X') and specific interests ('Accelerationist believer', 'OpenSource'), indicating authenticity. No direct investor keywords, but terms like 'Accelerationist' and 'OpenSource' suggest tech/innovation interest, though not strongly aligned with traditional investment signals.",1059,1020,https://x.com/AlvigodOP
bettina_hauge,Bettina Hauge 🇩🇰🇪🇺✨🚀,HUMAN,40,True,"Authentic human with personal details (Danish/EU flags, interests in space/engineering), but bio lacks direct investor keywords; investor score moderate due to potential tech/entrepreneurial overlap.",1012,475,https://x.com/bettina_hauge
Nextllive,Next🇺🇸❤️,HUMAN,40,True,"Bio shows authentic human interests in peace and technology with a unique perspective on multiplanetary survival, but lacks direct investor keywords; follower/following ratio and high tweet count suggest active engagement, though investor signals are moderate.",1004,772,https://x.com/Nextllive
CVincente19,Christian Vincente,HUMAN,40,True,"Authentic human with personal details (age, university, field of study) and a genuine bio expressing interest in building the future. Moderate investor signal from 'build the future' suggesting potential in tech/engineering, but lacks direct investor keywords like 'investor' or 'founder'. DM suitability is moderate as a peer in tech/engineering.",1022,715,https://x.com/CVincente19
CoreyNoles,Corey Noles,HUMAN,40,True,"Authentic human with unique bio details (Editor, Podcast Host, Agent Architect, personal interests in vinyl and StL location). Low investor signal as bio focuses on AI/tech media and creative roles rather than direct investment keywords, but suitable for professional DM due to tech/entrepreneurial overlap.",936,1288,https://x.com/CoreyNoles
raketstar2,Raket,HUMAN,40,True,"Bio contains unique personal details (Anne R. B. Roberts, specific projects like 90's AI zine, Y2K problem, IEEE involvement) indicating authenticity. No direct investor keywords, but technical background (IEEE, AMD) suggests potential for tech/entrepreneurial interest, though not explicitly financial.",817,555,https://x.com/raketstar2
peterlemz,mostly tesla things,HUMAN,40,True,"Username is personal (peterlemz), name suggests niche interest in Tesla, high tweet count (8355) indicates active human engagement, but bio is empty and following/follower ratio suggests casual user rather than clear investor signal.",794,1198,https://x.com/peterlemz
Jays200,Jays,HUMAN,40,True,"Authentic human with unique personal story about Tesla Model X adventure, indicating real-world interests and experiences. Bio lacks direct investor keywords but shows affinity for Tesla/tech, suggesting potential for investment interest. High tweet count and moderate follower ratio support human activity.",784,572,https://x.com/Jays200
dbAchchat,bAchchat 🥖🏃,HUMAN,40,True,"Authentic human with unique bio referencing 'breadchasing' and 'paying bills with jpegs', indicating crypto/NFT interest. Moderate investor signal due to crypto involvement but lacks explicit investor keywords like 'investor' or 'VC'.",742,538,https://x.com/dbAchchat
luizfl,Luizfl,HUMAN,40,True,"Authentic human with personal religious and patriotic elements in bio, includes stock market interest but lacks strong investor keywords; moderate signal due to US stock market mention but not explicitly investor-focused.",726,245,https://x.com/luizfl
DakshantSharma,Dakshant Sharma,HUMAN,40,True,"Authentic human with personal details (name, profession as Data Engineer, specific support for Elon Musk). Bio includes 'supporting @elonmusk for Free Speech', which aligns with investor/alpha signals related to tech and free speech interests. However, lacks direct investor keywords like 'Investor' or 'VC', and high tweet count (51177) may indicate bot-like activity but balanced by professional context and specific interests.",661,973,https://x.com/DakshantSharma
anilsinghpnb,Tesla Singh 🌍,HUMAN,40,True,"Authentic human with personal name and location reference in username, but bio is generic 'Tech Enthusiast' with no strong investor keywords; high tweet count suggests active user, but limited alpha signals.",627,266,https://x.com/anilsinghpnb
jinfeng,Jin Feng,HUMAN,40,True,"Authentic human with unique personal details (ex-Twitter/Microsoft engineer, specific interests in space/engineering/physics). Bio lacks direct investor keywords but shows high technical expertise and professional background, suggesting potential for investment interest in tech/engineering fields. DM suitable for professional peer engagement.",602,574,https://x.com/jinfeng
MKoscP,Michael Krupp,HUMAN,40,True,"Authentic human with a unique name and bio expressing admiration for Elon Musk, but lacks direct investor keywords or professional signals; moderate score due to potential interest in tech/entrepreneurship.",537,315,https://x.com/MKoscP
ElonTopic,イーロンマスク日本語 ElonTopic,HUMAN,40,True,"Authentic human with unique Japanese-focused bio on Elon Musk topics, but lacks direct investor keywords; signals interest in tech/crypto trends, suitable for DM as a niche enthusiast.",536,379,https://x.com/ElonTopic
Justoneofthose1,Life!Moments are what it is about.,HUMAN,40,True,"Authentic human with personal interests (Family, friends, Tesla, Traveling, Tech, Energy) and specific details, but lacks direct investor keywords; moderate potential due to tech/energy mentions.",535,321,https://x.com/Justoneofthose1
abingos2,P.F Strawson,HUMAN,40,True,"Authentic human with unique bio covering technology, digital intelligence, and politics, plus specific location (Abia). Moderate investor signal from 'Technology' keyword, but lacks direct investor terms like 'Investor' or 'VC'. High tweet count suggests active user, suitable for professional DM.",526,935,https://x.com/abingos2
mrdanielbar,NPCicero ⚔️,HUMAN,40,True,"Bio shows authentic human traits with unique, humorous phrases (e.g., 'Space faring caveman', 'Futuristic luddite') and personal interests, but lacks direct investor keywords; investor score is moderate due to potential alignment with tech/crypto culture from terms like 'XLLM', 'FAFO', and 'LFG'.",517,719,https://x.com/mrdanielbar
yancy_the_bull,Yancy,HUMAN,40,True,"Authentic human with personal bio expressing belief in passion, includes #btc indicating crypto interest, but lacks strong investor keywords like investor, founder, or equity; moderate follower count and high tweet volume suggest genuine activity.",497,1075,https://x.com/yancy_the_bull
joshuaarey,Joshua Arey,HUMAN,40,True,"Authentic human with personal name and mission-driven bio, but lacks direct investor keywords; bio focuses on financial empowerment which may indicate interest in finance or investing, but not explicitly an investor.",382,734,https://x.com/joshuaarey
Brodde4Real,Stefan Broddesson 🇸🇪,HUMAN,40,True,"Authentic human with personal details (name, flag), but bio lacks clear investor keywords; moderate follower count and high tweet volume suggest active user, though investor signals are weak.",374,87,https://x.com/Brodde4Real
Z4chOnEarth,Zach,HUMAN,40,True,"Authentic human with personal details (age, name, interests), but investor signals are weak; bio includes 'Entrepreneur' which is a positive keyword, but lacks strong investor/alpha terms like 'Investor' or 'VC'. High tweet count suggests active user, suitable for DM as a peer in entrepreneurial space.",374,788,https://x.com/Z4chOnEarth
rayanabdulcader,Rayan A Cader,HUMAN,40,True,"Authentic human with personal interests in gaming, tech, and AI; bio is unique and not generic. Moderate investor signal due to tech/AI focus, but lacks explicit investor keywords like 'investor' or 'founder'. Suitable for DM as a peer in tech/AI space.",366,690,https://x.com/rayanabdulcader
davidravenx,THE RAVEN’S CALL,HUMAN,40,True,"Authentic human with personal bio details (Author, Communicator, use of Grok for grammar), but lacks direct investor keywords; moderate follower count and high tweet volume suggest active user, though bio is somewhat generic and not strongly aligned with investor/alpha signals.",350,626,https://x.com/davidravenx
yinkadeniran,Yinka Adeniran,HUMAN,40,True,"Authentic human with personal details (name, role as professor, company affiliation), but bio lacks direct investor keywords; focus on building a health group and Africa-related insights suggests potential as a professional peer, though not a strong investor signal.",322,44,https://x.com/yinkadeniran
TheRusoaica,MA,HUMAN,40,True,"Bio shows personal interests (Love, Security, Privacy, Innovation, Art) and community-building focus, indicating authenticity. Lacks direct investor keywords, but mentions 'Innovation' and 'community of innovation' suggest potential alignment with entrepreneurial themes, though not strongly investor-specific.",308,572,https://x.com/TheRusoaica
ChrisMonti72,Christian Montén,HUMAN,40,True,"Authentic human with personal interests (golf, martial arts, sustainability) and specific mentions of Tesla and PV (likely solar power), but lacks direct investor keywords; moderate follower count and high tweet volume suggest genuine user, though investor signal is low.",289,382,https://x.com/ChrisMonti72
LRodz1968,LILLY,HUMAN,40,True,"Authentic human with personal details (proud mom, specific interests in Elon Musk, SpaceX, Tesla, Neuralink). Bio shows genuine enthusiasm and personal identity, not generic bot content. Investor signals are moderate due to interest in tech/entrepreneurial topics like Tesla and SpaceX, but lacks direct investor keywords (e.g., investor, founder, VC). Suitable for DM as a peer in tech/innovation circles.",286,576,https://x.com/LRodz1968
RealGautamAtri,Gautam Atri - Realty & Mortgage,HUMAN,40,True,"Authentic human with specific personal and professional details (name, company, DRE/NMLS numbers, location). Bio indicates real estate professional, not a bot. Investor score moderate due to focus on real estate/mortgage, which may align with investment interests but lacks direct crypto/tech/VC keywords.",281,608,https://x.com/RealGautamAtri
justBill,Bill,HUMAN,40,True,"Authentic human with personal details (software building, AI interest, lifting), but lacks direct investor keywords; potential as a tech peer for DM engagement.",260,215,https://x.com/justBill
AIbolic,AIbolic - AI and Tech,HUMAN,40,True,"Authentic human with unique bio focused on AI and tech, includes personal email and community leadership, but lacks direct investor keywords; suitable for DM as a professional peer in tech.",194,226,https://x.com/AIbolic
monzi64,Simon,HUMAN,40,True,"Authentic human with personal interests (adventures, fitness, author) and specific fandom (Tesla & SpaceX). Moderate investor signal due to Tesla mention, but lacks direct investor keywords like 'investor' or 'entrepreneur'.",170,20,https://x.com/monzi64
SpacePiccasso,CALITORIA,HUMAN,40,True,"Bio contains specific interests like EVs, NASA, and mentions of companies (e.g., $D, RYANAIR, XAI) that suggest a real person with niche tech/space focus, but lacks direct investor keywords; authenticity is high due to unique details, though investor signal is moderate.",143,791,https://x.com/SpacePiccasso
OneCheckmark,OneCheckmark,HUMAN,40,True,"Bio shows authentic human interests (technology, astronomy, science, AI, e-mobility) with a personal touch ('making a better world'), but lacks direct investor keywords; moderate follower count and high tweet volume suggest real user, though investor signal is low.",141,95,https://x.com/OneCheckmark
DominikBTC,IlrazzodiElon,HUMAN,40,True,"Authentic human with unique bio expressing personal views on free markets and development, but lacks direct investor keywords; username suggests crypto interest, but limited follower count and high tweet volume may indicate lower influence.",138,110,https://x.com/DominikBTC
ishan__1111,Ishan,HUMAN,40,True,"Authentic human with specific details in bio (defence/aerospace company, Build Canada) and personal name, but lacks direct investor keywords; moderate follower count and high following suggest potential for networking, though not explicitly an investor.",112,373,https://x.com/ishan__1111
bernieoffsesame,Bernie Man,HUMAN,40,True,"Authentic human with unique, self-deprecating bio indicating personal interests in biotech and AI; low follower count and specific content suggest genuine user, but bio explicitly disclaims investment advice, reducing investor signal.",107,141,https://x.com/bernieoffsesame
virag_1513,Virag_ik,HUMAN,40,True,"Authentic human with personal interests in rockets/space tech and a data scientist role, but limited investor signals; bio is brief but specific, and follower/following ratio suggests genuine activity.",104,394,https://x.com/virag_1513
iamrafagarcia,Rafael Garcia,HUMAN,40,True,"Authentic human with unique bio ('Techno-Optimista', 'Shallow deepness connoisseur') and personal details (name, Costa Rican flag, pirate flag). Low investor signal due to lack of explicit keywords like investor or founder, but potential for tech interest suggests some suitability for peer DM.",94,1046,https://x.com/iamrafagarcia
prxgaurav,Gaurav Upadhyay,HUMAN,40,True,"Authentic human with personal details (name, specific interests in esports and sports teams), but bio focuses on software engineering and founding a gaming company, with limited direct investor keywords; moderate potential as a tech/entrepreneur peer.",75,694,https://x.com/prxgaurav
MjYoke1111,MJ YOKE,HUMAN,40,True,"Bio shows authentic personal interests in AI/LLM and tech building, with specific links, but lacks direct investor keywords; follower-following ratio suggests real user engagement, though investor signals are moderate.",61,1376,https://x.com/MjYoke1111
akrawec39,Alexander Krawec,HUMAN,40,True,"Authentic human with personal details (name, sports fandom, job at xAI), but bio lacks direct investor keywords; moderate follower count suggests real user, but limited investor signals.",55,152,https://x.com/akrawec39
CurtisRummel,Curtis Rummel,HUMAN,30,True,"Authentic human with personal interests (USA & capitalism), but lacks direct investor/alpha keywords; bio is generic and not specific to investing or tech, reducing investor potential.",1411,868,https://x.com/CurtisRummel
swdesertgirl,swdesertgirl,HUMAN,30,True,"Authentic human with specific professional details in healthcare strategy and business development, but lacks direct investor/alpha keywords; low investor signal.",1332,1077,https://x.com/swdesertgirl
F_Botha_USA,Francois Botha,HUMAN,30,True,"Authentic human with unique bio detailing personal identity (Afrikaner-American, ASU), interests (tech, politics, social issues), and humor. No generic bot signals. Investor score moderate due to tech-savvy mention but lacks direct investor keywords like 'Investor' or 'VC'; focus is on societal commentary rather than investment.",1137,807,https://x.com/F_Botha_USA
karaebel,Kara,HUMAN,30,True,"Authentic human with specific professional details (Video Content Design at xAI and Grok), unique bio, and realistic follower/following ratio. Low investor signal as bio lacks direct investment keywords, but suitable for DM as a professional peer in tech.",1129,418,https://x.com/karaebel
TeslaYRose,Marianne Clausi Johnson,HUMAN,30,True,"Authentic human with personal bio details (pro-American, creativity, humor, S.T.E.M advocacy), but lacks direct investor/alpha signals like 'Investor', 'VC', or 'Crypto'; bio suggests general interests rather than professional investment focus.",1123,973,https://x.com/TeslaYRose
r0nnyb0y,إدغار,HUMAN,30,True,"Authentic human with personal interests in sports and rockets, but lacks explicit investor keywords; low investor signal due to no direct financial or entrepreneurial indicators.",1058,471,https://x.com/r0nnyb0y
torgeirstoen,Torgeir Støen,HUMAN,30,True,"Authentic human with personal details (psychologist, dog owner, interests in curiosity and X), but lacks direct investor/alpha signals like 'Investor', 'Founder', or crypto/tech keywords; bio suggests a professional peer but not a strong investment focus.",1024,418,https://x.com/torgeirstoen
El_lee_Dare,EK,HUMAN,30,True,"Authentic human with personal bio elements (Star Wars quote, disclaimer on likes/RTs), but lacks clear investor/alpha signals; low investor score due to absence of keywords like investor, founder, or crypto.",1003,783,https://x.com/El_lee_Dare
AAristi1976,Andres Aristizabal,HUMAN,30,True,"Authentic human with personal details (name, profession, specific interests in technology and music), but bio lacks direct investor/alpha signals; investor score is moderate due to tech interest and professional background, but no explicit investment-related keywords.",966,293,https://x.com/AAristi1976
iksammy1,iksammy1,HUMAN,30,True,"Authentic human with personal bio details (agriculturist, technology marketer, projects), but lacks strong investor/alpha signals; bio is generic and not focused on investment or high-value tech/entrepreneurship keywords.",955,147,https://x.com/iksammy1
CODE_XApp,Brendan Miller,HUMAN,30,True,"Authentic human with unique bio detailing independent software project, but lacks direct investor/alpha signals; bio focuses on privacy and coding, not investment or entrepreneurial keywords.",953,1372,https://x.com/CODE_XApp
JohnDogeco,John Dogeco,HUMAN,30,True,"Bio shows authentic personal interests (Bengali Doge, political commentary) and humor, indicating a human user. However, lacks direct investor/alpha signals like 'Investor' or 'Crypto'; focus is on Dogecoin community and memes, with moderate follower count and high tweet volume suggesting active engagement but not necessarily professional investment orientation.",913,1470,https://x.com/JohnDogeco
kktwd761,Lucky.D,HUMAN,30,True,"Authentic human with personal details (Model Y owner), but limited investor signals; bio lacks keywords like investor or founder, suggesting general interest rather than professional investment focus.",850,1190,https://x.com/kktwd761
LisaMarie10369,LisaMarie,HUMAN,30,True,"Authentic human with personal name and bio focused on ethical leadership and humanity, but lacks direct investor keywords; bio suggests potential for professional engagement but not strong alpha signals.",831,110,https://x.com/LisaMarie10369
rose_1024nu,Rose,HUMAN,30,True,"Authentic human with specific personal interests (space, rocketry, Florida-based, KSC launch watcher) and a genuine, non-generic bio. No clear investor/alpha signals like 'investor' or 'founder' keywords, but potential for aerospace industry interest.",799,602,https://x.com/rose_1024nu
CarpenterWarren,Warren Carpenter 🇺🇸🇺🇸🇺🇸,HUMAN,30,True,"Authentic human with political background (Finance Chair, Political Director) and specific location/affiliations (MIGOP, MAGA), but lacks direct investor/alpha signals like 'Investor', 'VC', or tech/crypto keywords; may have financial experience but not clearly aligned with investment focus.",742,306,https://x.com/CarpenterWarren
MDNGHTPRPHT,MDNGHTPRPHT,HUMAN,30,True,"Authentic human with personal details (veteran, location NC), but bio lacks investor keywords; low investor signal despite high tweet volume.",596,794,https://x.com/MDNGHTPRPHT
marshallfrith,Marshall Frith,HUMAN,30,True,"Authentic human with personal details (location: Old Town, interests: golf, sports teams), but lacks direct investor keywords; bio suggests casual or personal focus rather than professional investment signals.",571,1448,https://x.com/marshallfrith
TheBryJack,Bryan J,HUMAN,30,True,"Authentic human with unique bio ('based | curious | skill collector | Mic check? This thing on?') and personal name 'Bryan J', but lacks explicit investor keywords; moderate follower count and high tweet volume suggest active user, but no clear alpha signals for investment focus.",571,185,https://x.com/TheBryJack
iOutatime,Mason Fowlkes,HUMAN,30,True,"Authentic human with a unique bio referencing a movie quote, personal name, and moderate follower count. Low investor signal due to lack of keywords like investor, founder, or crypto; bio is philosophical rather than professional.",540,290,https://x.com/iOutatime
garcia590,Garcia,HUMAN,30,True,"Bio shows unique, philosophical language with personal interests like 'Observation & Hypothesis' and 'Pattern Recognition', indicating authenticity. Lacks direct investor keywords, but 'CyberSpace Expedition' and 'Collecting Puzzle Pieces of Ideas' suggest intellectual curiosity, potentially relevant for tech or crypto contexts. High tweet count and moderate follower ratio support human activity, though investor signals are weak.",528,1097,https://x.com/garcia590
raider99k,Pasquale,HUMAN,30,True,"Authentic human with specific academic and professional details (mechatronics, perception, driverless), but bio lacks direct investor/alpha keywords; focus appears technical/engineering rather than investment-oriented.",514,384,https://x.com/raider99k
xyzthompson,Crucial Machine,HUMAN,30,True,"Authentic human with personal details (Virginia, SWE), but bio lacks direct investor keywords; investor score low due to focus on software engineering rather than investment signals.",475,131,https://x.com/xyzthompson
Rasheed_Finance,روقان بالك راس مالك,HUMAN,30,True,"Authentic human with personal opinions and location-specific content, but bio lacks investor keywords and focuses on non-financial sentiments, reducing investor signal.",465,396,https://x.com/Rasheed_Finance
vibecoder,vibecoder,HUMAN,30,True,"Authentic human with specific role (AI-centric Design Manager) and company mention (UCDOps), but bio lacks direct investor keywords; moderate follower count and high tweet volume suggest active user, though focus on design/tech may indicate lower investor potential.",454,105,https://x.com/vibecoder
jimmyzdivebar,Jimmy Z,HUMAN,30,True,"Authentic human with personal interests (cocktails, whiskey, SWFL vibes) and unique bio; low investor signal as keywords focus on hobbies and AI/Elon fandom without direct investment terms.",437,381,https://x.com/jimmyzdivebar
konspieracy,Konstantin,HUMAN,30,True,"Authentic human with personal name and unique bio, but lacks strong investor keywords; bio mentions tech interest, which is a mild signal, but no explicit investment or entrepreneurial terms.",431,973,https://x.com/konspieracy
PundtstevenTX,Steven Pundt,HUMAN,30,True,"Authentic human with specific technical expertise in automotive/marine engineering and EV optimization, but lacks direct investor/alpha signals like 'Investor' or 'VC' keywords; may be a professional peer rather than a financial investor.",431,119,https://x.com/PundtstevenTX
Katystudt,TechKatystudt Mechazilla,HUMAN,30,True,"Authentic human with specific interests in technology, 3D printing, and SpaceX-related projects (Mechazilla, Starbase). Bio shows personal details and niche expertise, but lacks direct investor keywords like 'investor', 'VC', or 'entrepreneur'. Suitable for DM as a peer in tech/engineering fields.",414,1073,https://x.com/Katystudt
Laksh_Kanojiya,Master 𝘅,HUMAN,30,True,"Authentic human with personal bio expressing values and motivation, but lacks direct investor keywords; bio focuses on camaraderie and action, not financial or professional signals.",356,752,https://x.com/Laksh_Kanojiya
Sivateja,Dr teja,HUMAN,30,True,"Authentic human with personal bio about exploration and open-mindedness, but lacks direct investor keywords or signals; low investor score due to no mention of investing, business, or tech interests.",341,955,https://x.com/Sivateja
riazulrahil,Riazul Islam Rahil,HUMAN,30,True,"Authentic human with personal details (Founder, Creative Director, specific company @motioncraftsco, interests in filmmaking, science, tech). Bio lacks direct investor keywords (e.g., investor, angel, VC, crypto), but shows entrepreneurial and tech interest, making DM suitable for professional networking.",326,1419,https://x.com/riazulrahil
dicoangelo,Dico,HUMAN,30,True,"Authentic human with personal links in bio and balanced follower/following ratio, but lacks explicit investor keywords or signals; bio is minimal without clear professional or investment focus.",310,610,https://x.com/dicoangelo
DJWJR11,DJWJR,HUMAN,30,True,"Authentic human with personal details (family, hobbies, generation), but lacks direct investor keywords; interests in markets and news provide some relevance.",322,82,https://x.com/DJWJR11
anrotz,anrot,HUMAN,30,True,"Authentic human with unique personal interests (Internet Researcher, Collector, Early Vine Adopter, Nostalgia/Physical Media Enthusiast), but lacks direct investor/alpha signals; bio focuses on research and hobbies rather than investment or entrepreneurial keywords.",305,233,https://x.com/anrotz
MackHC,MackHC,HUMAN,30,True,"Authentic human with personal details (veteran, father, husband, small business owner), but lacks direct investor/alpha keywords; low investor signal despite genuine profile.",280,454,https://x.com/MackHC
ericbdahlgren,🇺🇸 Eric Brooks Dahlgren,HUMAN,30,True,"Authentic human with personal name, location flag, and specific interests (Tech Enthusiast). Low investor signal due to generic bio lacking keywords like investor, founder, or crypto; moderate follower count suggests real engagement.",278,171,https://x.com/ericbdahlgren
valentinvaleanu,Valentin Văleanu,HUMAN,30,True,"Authentic human with unique bio detailing professional roles (AI Developer, Azure/Entra Specialist) and personal interests (First Principles Thinker, Open Source Advocate). No bot-like generic content. Low investor signal as bio focuses on tech development rather than investment keywords; may be a peer in tech but not a clear investor/alpha user.",268,1091,https://x.com/valentinvaleanu
Config_Tsushima,Config,HUMAN,30,True,"Bio shows unique personal interests (typography, data visualization, tech, astronomy) and self-identification as 'Technical and Hands-on Human', indicating authenticity. Low investor signal due to lack of keywords like investor, founder, or crypto; focus is on technical/creative fields rather than investment or business.",263,1009,https://x.com/Config_Tsushima
RitikBheda,Ritik Bheda,HUMAN,30,True,"Authentic human with personal details (keyboard-man, working at bank, specific project links). Low investor signal due to lack of keywords like investor, founder, or crypto; bio focuses on resume generation and website traffic, not investment activities.",254,973,https://x.com/RitikBheda
BuilderDZ,BuilderDZ,HUMAN,30,True,"Bio shows personal interests (AI, memes, robots, games) with unique phrasing, indicating authenticity. Limited investor signals; keywords like 'AI solutions enthusiast' suggest tech interest but no direct investor terms like 'Investor' or 'Founder'. DM suitability moderate as a peer in tech/AI space.",247,416,https://x.com/BuilderDZ
barorcarl,Bart Carlson,HUMAN,30,True,"Authentic human with personal name and bio expressing unique interests in sustainability and abundance, but lacks direct investor keywords or strong alpha signals; low investor score due to absence of terms like investor, founder, or crypto.",236,213,https://x.com/barorcarl
skyisuniverse,Sky Universe,HUMAN,30,True,"Authentic human with personal name change detail (formerly Vahan Minasian) and multiple links suggesting real activity, but bio lacks explicit investor keywords; low investor signal based on provided info.",233,1236,https://x.com/skyisuniverse
11_shark_9pool,NomadwithaCause,HUMAN,30,True,"Authentic human with personal details (e.g., 'NomadwithaCause', political references, humor), but lacks clear investor/alpha signals; bio focuses on social media engagement and interests without keywords like investor, founder, or crypto.",232,151,https://x.com/11_shark_9pool
lukeanderson_,Luke Anderson,HUMAN,30,True,"Authentic human with personal details (name, location flags), but bio lacks investor-specific keywords; low investor signal based on provided data.",204,169,https://x.com/lukeanderson_
Michelle382650,Michelle Rose,HUMAN,30,True,"Authentic human with unique personal details (creator of reality TV shows, Jewish identity, support for Israel), but lacks direct investor/alpha signals; bio focuses on entertainment and personal beliefs, not investment or business keywords.",204,167,https://x.com/Michelle382650
thexapien,Xapien,HUMAN,30,True,"Authentic human with unique bio and personal details (IT Specialist, Unbounded Thoughts), but lacks strong investor/alpha signals; bio does not include keywords like investor, founder, or crypto, making DM suitability moderate for professional peer engagement.",188,397,https://x.com/thexapien
LeonSosa12,Leon Sosa,HUMAN,30,True,"Authentic human with personal details (engineer, physicist, programmer) and diverse interests, but lacks direct investor/alpha signals like 'Investor' or 'Crypto' keywords; bio focuses on learning and passion, not financial or entrepreneurial themes.",162,391,https://x.com/LeonSosa12
